day,cov_name,lat_lon_resolution,lr,stepsize,sigma,range_lat,range_lon,advec_lat,advec_lon,beta,nugget,loss,time,epoch,
2025-07-13,Vecc_b2,1250,0.015,20,25.78725995,2.251516739,3.754560749,-0.138972878,0.098259521,0.113834175,1.362355976,11353.30371,17896.65369,881,b2=0.8
2025-07-13,Vecc_b2,1250,0.02,20,24.37496918,2.129235634,3.54367758,-0.139620477,0.097806359,0.120833768,1.360349654,11354.37204,1922.71602,94,b2=0.8
2025-07-13,Vecc_b2,1250,0.025,20,25.70912698,2.243676975,3.739943486,-0.139477188,0.099383796,0.114422189,1.361496269,11353.37415,3421.235323,168,b2=0.8
2025-07-13,Vecc_b2,1250,0.03,20,26.73322789,2.333107816,3.892934114,-0.138732669,0.099917709,0.110222515,1.362295586,11352.72843,4392.662998,215,b2=0.8
2025-07-13,Vecc_b2,1250,0.015,40,28.74080488,2.508026719,4.187703853,-0.138874689,0.098918893,0.102153239,1.362441343,11351.68839,32121.74243,1602,b2=0.8
2025-07-13,Vecc_b2,1250,0.02,40,25.69798019,2.241977019,3.740530668,-0.140091801,0.097127612,0.114743332,1.362088818,11353.38409,3437.37097,169,b2=0.8
2025-07-13,Vecc_b2,1250,0.025,40,27.64720214,2.410153199,4.023870484,-0.138945608,0.096563434,0.105690309,1.360509293,11352.22948,5159.464062,253,b2=0.8
2025-07-13,Vecc_b2,1250,0.03,40,28.59581288,2.493510996,4.162055483,-0.138521195,0.099746233,0.101961723,1.362278691,11351.77388,5237.289515,259,b2=0.8
2025-07-13,Vecc_b2,1250,0.015,60,23.58707802,2.047629026,3.416348152,-0.138329585,0.096930637,0.12653199,1.353737192,11355.09214,1036.298437,50,b2=0.8
2025-07-13,Vecc_b2,1250,0.02,60,29.06948206,2.536383504,4.232020454,-0.13822163,0.098561846,0.100923828,1.36074098,11351.55988,8448.811249,417,b2=0.8
2025-07-13,Vecc_b2,1250,0.025,60,26.32402759,2.296168613,3.829802703,-0.137525612,0.099482269,0.110714954,1.361606859,11352.98948,3129.867397,154,b2=0.8
2025-07-13,Vecc_b2,1250,0.03,60,36.89625037,3.22075491,5.392009166,-0.138515432,0.100891681,0.079475718,1.364570141,11349.36628,18162.78559,905,b2=0.8
2025-07-13,Vecc_b2,1250,0.015,80,23.58707802,2.047629026,3.416348152,-0.138329585,0.096930637,0.12653199,1.353737192,11355.09214,1054.137121,50,b2=0.8
2025-07-13,Vecc_b2,1250,0.02,80,30.4228053,2.653571771,4.43438581,-0.138441836,0.097975611,0.096488455,1.362581217,11351.02651,9832.924358,488,b2=0.8
2025-07-13,Vecc_b2,1250,0.025,80,34.1926415,2.983262212,4.989848135,-0.138276357,0.100524565,0.085367527,1.362073973,11349.91964,12992.16328,646,b2=0.8
2025-07-13,Vecc_b2,1250,0.03,80,26.76923597,2.334457867,3.896212325,-0.141396657,0.100836184,0.110764038,1.360128783,11352.75386,2904.134392,143,b2=0.8
2025-07-13,Vecc_b2,1250,0.015,20,25.76061252,2.24921154,3.750687474,-0.138961904,0.098257703,0.113951535,1.362342233,11353.32148,17832.76365,881,b2=0.85
2025-07-13,Vecc_b2,1250,0.02,20,26.7431323,2.334336115,3.894425469,-0.138931608,0.098484004,0.109775319,1.362254184,11352.70844,18640.72003,921,b2=0.85
2025-07-13,Vecc_b2,1250,0.025,20,27.68643438,2.41627302,4.032774779,-0.138903758,0.098682367,0.106060126,1.362327794,11352.19298,18688.68727,923,b2=0.85
2025-07-13,Vecc_b2,1250,0.03,20,25.22448022,2.201993035,3.670839871,-0.139208531,0.097410583,0.117265218,1.361259204,11353.72339,2192.13138,108,b2=0.85
2025-07-13,Vecc_b2,1250,0.015,40,24.0946482,2.105693532,3.508502156,-0.139206114,0.097264542,0.12256419,1.363785504,11354.60911,1919.868104,93,b2=0.85
2025-07-13,Vecc_b2,1250,0.02,40,26.26344696,2.290893752,3.822529974,-0.138920424,0.099138517,0.112254506,1.362462916,11353.01534,4448.372681,217,b2=0.85
2025-07-13,Vecc_b2,1250,0.025,40,27.47404633,2.397612348,4.00019129,-0.138302026,0.098925163,0.107422662,1.361986787,11352.3221,4960.502654,244,b2=0.85
2025-07-13,Vecc_b2,1250,0.03,40,26.66101232,2.327321843,3.879315957,-0.138037968,0.098806934,0.111303162,1.361831672,11352.78954,3173.632284,156,b2=0.85
2025-07-13,Vecc_b2,1250,0.015,60,23.80526013,2.080202431,3.466367212,-0.139359842,0.096532514,0.123284169,1.363354612,11354.86177,1393.85735,68,b2=0.85
2025-07-13,Vecc_b2,1250,0.02,60,28.82725818,2.514597792,4.198533116,-0.138668967,0.099863499,0.102164861,1.362449545,11351.66432,8080.117797,399,b2=0.85
2025-07-13,Vecc_b2,1250,0.025,60,28.63084316,2.497339425,4.170168151,-0.139298333,0.100576532,0.102910123,1.360999046,11351.76589,5780.458035,285,b2=0.85
2025-07-13,Vecc_b2,1250,0.03,60,31.02390129,2.705724798,4.520421803,-0.138845056,0.100630825,0.094922715,1.362323764,11350.83471,7212.225477,360,b2=0.85
2025-07-13,Vecc_b2,1250,0.015,80,27.0899231,2.363380936,3.943780512,-0.138886146,0.099715103,0.108799624,1.362449845,11352.52376,6793.825825,336,b2=0.85
2025-07-13,Vecc_b2,1250,0.02,80,26.31635299,2.296796559,3.827601432,-0.137515437,0.098925618,0.11115261,1.360443643,11352.9919,3834.342503,190,b2=0.85
2025-07-13,Vecc_b2,1250,0.025,80,24.73126864,2.157956959,3.602660418,-0.138223006,0.095877895,0.118016425,1.361843564,11354.11414,1623.245896,80,b2=0.85
2025-07-13,Vecc_b2,1250,0.03,80,36.17529733,3.157409806,5.284643904,-0.138748746,0.098795898,0.081701137,1.364293996,11349.49992,12894.61452,644,b2=0.85
