model,k,AIC,ΔAIC
W1+W2+W3+W4+W5+W6,7,156.7684771444165,0.0
W1+W2+W3+W4+W5+W6+W7,8,195.06358603839496,38.3
W1+W2+W3+W4+W5,6,1772.8756774772503,1616.11
W1+W2+W3+W4+D1,6,4139.34105170456,3982.57
W1+W2+W3+W4+D2,6,4177.034257532108,4020.27
W1+W2+W3+W4+D3,6,4190.7309419047415,4033.96
W1+W2+W3+W4+D14,6,4204.329933724901,4047.56
W1+W2+W3+W4+D12,6,4204.369569475331,4047.6
W1+W2+W3+W4+D4,6,4204.504889452965,4047.74
W1+W2+W3+W4+D13,6,4206.42326178038,4049.65
W1+W2+W3+W4+D5,6,4207.3356594233355,4050.57
W1+W2+W3+W4+D11,6,4209.195929343361,4052.43
W1+W2+W3+W4+D10,6,4211.445335351941,4054.68
W1+W2+W3+W4+D6,6,4214.416220966987,4057.65
W1+W2+W3+W4+D9,6,4215.58460495153,4058.82
W1+W2+W3+W4+D7,6,4217.1454684786495,4060.38
W1+W2+W3+W4+D8,6,4218.174778149816,4061.41
W1+W2+W3+W4,5,4248.8669803439125,4092.1
W1+W2+W3+D1+D2+D3+D4+D5,9,4938.335181363057,4781.57
W1+W2+W3+D1+D2+D3+D4,8,4943.550686092755,4786.78
W1+W2+W3+D1+D14,6,4944.023209337506,4787.25
W1+W2+W3+D1+D2+D3,7,4948.731360483087,4791.96
W1+W2+W3+D1+D2,6,4958.190436886085,4801.42
W1+W2+W3+D1+D7,6,4960.840829823284,4804.07
W1+W2+W3+D1,5,4983.577884403921,4826.81
W1+W2+W3+D2+D14,6,5006.1170746417965,4849.35
W1+W2+W3+D2+D7,6,5027.3349833949915,4870.57
W1+W2+W3+D3+D14,6,5033.8254584813385,4877.06
W1+W2+W3+D2,5,5047.221197398499,4890.45
W1+W2+W3+D4+D14,6,5052.183735520986,4895.42
W1+W2+W3+D3+D7,6,5057.056970224881,4900.29
W1+W2+W3+D5+D14,6,5057.822417883458,4901.05
W1+W2+W3+D6+D14,6,5069.650264247942,4912.88
W1+W2+W3+D3,5,5074.411892710573,4917.64
W1+W2+W3+D4+D7,6,5077.595720086313,4920.83
W1+W2+W3+D7+D14,6,5078.56653337945,4921.8
W1+W2+W3+D5+D7,6,5087.364563464825,4930.6
W1+W2+W3+D4,5,5091.972237230252,4935.2
W1+W2+W3+D5,5,5096.959619849668,4940.19
W1+W2+W3+D14,5,5097.847575185515,4941.08
W1+W2+W3+D12,5,5098.189892665843,4941.42
W1+W2+W3+D13,5,5099.767720080892,4943.0
W1+W2+W3+D6+D7,6,5100.725938058562,4943.96
W1+W2+W3+D11,5,5103.219316633223,4946.45
W1+W2+W3+D10,5,5105.715022087774,4948.95
W1+W2+W3+D6,5,5106.087342128228,4949.32
W1+W2+W3+D7,5,5110.987190125162,4954.22
W1+W2+W3+D9,5,5111.242139403994,4954.47
W1+W2+W3+D8,5,5113.776327283411,4957.01
W1+W2+W3,4,5146.002911121341,4989.23
W1+W2+D1+D2+D3+D4+D5,8,5402.486869103075,5245.72
W1+W2+D1+D2+D3+D4,7,5407.545840734553,5250.78
W1+W2+D1+D2+D3,6,5413.040557489936,5256.27
W1+W2+D1+D2,5,5423.033553712663,5266.27
W1+W2+D1,4,5452.075999265641,5295.31
W1+W2+D2,4,5549.923446952989,5393.15
W1+W2+D3,4,5590.438972524807,5433.67
W1+W2+D4,4,5614.937897173623,5458.17
W1+W2+D5,4,5624.12998547993,5467.36
W1+W2+D14,4,5633.121519560912,5476.35
W1+W2+D12,4,5634.182471174443,5477.41
W1+W2+D13,4,5634.2671675748825,5477.5
W1+W2+D6,4,5635.936521652434,5479.17
W1+W2+D11,4,5638.684758871753,5481.92
W1+W2+D10,4,5640.002315816615,5483.23
W1+W2+D7,4,5643.217556811266,5486.45
W1+W2+D9,4,5645.794671923416,5489.03
W1+W2+D8,4,5647.903010373783,5491.13
W1+W2,3,5681.1065031725475,5524.34
W1+D1+D2+D3+D4+D5,7,5712.24011039823,5555.47
W1+D1+D2+D3+D4,6,5716.495746865257,5559.73
W1+D1+D2+D3,5,5721.551530135481,5564.78
W1+D1+D2,4,5731.845663232852,5575.08
W1+D1,3,5762.681281413918,5605.91
W1+D2,3,5884.962040543003,5728.19
W1+D3,3,5935.893851149156,5779.13
W1+D4,3,5967.112638376322,5810.34
W1+D5,3,5980.397872654897,5823.63
W1+D6,3,5994.416858220767,5837.65
W1+D14,3,5995.966618308886,5839.2
W1+D12,3,5996.76413471693,5840.0
W1+D13,3,5997.045090768122,5840.28
W1+D11,3,6001.829203158948,5845.06
W1+D10,3,6002.317726697807,5845.55
W1+D7,3,6003.445550432765,5846.68
W1+D9,3,6007.935623943313,5851.17
W1+D8,3,6009.752065998142,5852.98
W1,2,6039.445032953656,5882.68
D1+D14,3,12087.931617704584,11931.16
D1+D7,3,12163.54972168368,12006.78
D1,2,12233.929643042537,12077.16
D2+D14,3,13242.29145665776,13085.52
D2+D7,3,13328.989194328931,13172.22
D2,2,13394.143796964176,13237.38
D3+D14,3,13663.550053828681,13506.78
D3+D7,3,13757.322174479947,13600.55
D3,2,13812.70951663791,13655.94
D4+D14,3,13837.46394226667,13680.7
D5+D14,3,13931.19072308877,13774.42
D4+D7,3,13935.318289574529,13778.55
D4,2,13978.016540074965,13821.25
D6+D14,3,13991.666289574972,13834.9
D7+D14,3,14017.75341062667,13860.98
D14,2,14020.39342184812,13863.62
D5+D7,3,14030.597385484078,13873.83
D13,2,14035.352882976478,13878.58
D12,2,14046.034760763809,13889.27
D5,2,14059.63985582683,13902.87
D11,2,14061.614823796392,13904.85
D10,2,14079.488916739187,13922.72
D6+D7,3,14092.068852874983,13935.3
D9,2,14092.945380278334,13936.18
D6,2,14104.598143354637,13947.83
D8,2,14105.143073450432,13948.37
D7,2,14116.82628884369,13960.06
Baseline,1,14255.480821787447,14098.71
